Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
SRRM1	SMC1A	psi-mi:"MI:0401"(biochemical)	McCracken S (2005)	pubmed:16159877
SRRM1	SMC3	psi-mi:"MI:0401"(biochemical)	McCracken S (2005)	pubmed:16159877
SRRM1	RAD21	psi-mi:"MI:0401"(biochemical)	McCracken S (2005)	pubmed:16159877
SRRM1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	McCracken S (2005)	pubmed:16159877
RPGR	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Khanna H (2005)	pubmed:16043481
RPGR	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Khanna H (2005)	pubmed:16043481
RPGR	SMC1A	psi-mi:"MI:0096"(pull down)	Khanna H (2005)	pubmed:16043481
RPGR	SMC3	psi-mi:"MI:0096"(pull down)	Khanna H (2005)	pubmed:16043481
SMC1A	RPGR	psi-mi:"MI:0096"(pull down)	Khanna H (2005)	pubmed:16043481
SMC3	RPGR	psi-mi:"MI:0096"(pull down)	Khanna H (2005)	pubmed:16043481
CBX5	NIPBL	psi-mi:"MI:0686"(unspecified method)	Lechner MS (2005)	pubmed:15882967
CBX5	NIPBL	psi-mi:"MI:0004"(affinity chromatography technology)	Lechner MS (2005)	pubmed:15882967
NIPBL	CBX3	psi-mi:"MI:0096"(pull down)	Lechner MS (2005)	pubmed:15882967
ACTA1	HDAC8	psi-mi:"MI:0004"(affinity chromatography technology)	Waltregny D (2005)	pubmed:15772115
SMC1A	ATR	psi-mi:"MI:0004"(affinity chromatography technology)	Musio A (2005)	pubmed:15640246
PHF1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Hong Z (2008)	pubmed:18385154
RAD21	CTCF	psi-mi:"MI:0004"(affinity chromatography technology)	Stedman W (2008)	pubmed:18219272
SMC1A	CTCF	psi-mi:"MI:0004"(affinity chromatography technology)	Stedman W (2008)	pubmed:18219272
PAXIP1	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Patel SR (2007)	pubmed:17925232
PAXIP1	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Patel SR (2007)	pubmed:17925232
ESRRA	HDAC8	psi-mi:"MI:0096"(pull down)	Wilson BJ (2010)	pubmed:20484414
HDAC8	ESRRA	psi-mi:"MI:0415"(enzymatic study)	Wilson BJ (2010)	pubmed:20484414
MLLT3	NIPBL	psi-mi:"MI:0004"(affinity chromatography technology)	Park G (2010)	pubmed:20431927
THRA	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Jeyakumar M (2007)	pubmed:17242407
THRB	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Jeyakumar M (2007)	pubmed:17242407
BRD4	EP300	psi-mi:"MI:0004"(affinity chromatography technology)	Reynoird N (2010)	pubmed:20676058
SMC1A	KDM1B	psi-mi:"MI:0004"(affinity chromatography technology)	Fang R (2010)	pubmed:20670891
SMC1A	EHMT2	psi-mi:"MI:0004"(affinity chromatography technology)	Fang R (2010)	pubmed:20670891
EHMT2	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Fang R (2010)	pubmed:20670891
TERF2	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Giannone RJ (2010)	pubmed:20811636
SSU72	RAD21	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
SSU72	SMC1A	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
SSU72	SMC3	psi-mi:"MI:0004"(affinity chromatography technology)	Kim HS (2010)	pubmed:20818333
RAD21	SSU72	psi-mi:"MI:0096"(pull down)	Kim HS (2010)	pubmed:20818333
