Interactor_A	Interactor_B	Interaction Detection Method	Publication 1st Author	Publication Identifiers
ZBTB7A	RBBP7	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RBM39	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RFC1	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RFC4	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPA1	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPL27	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPL28	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPL35A	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPL7	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPS14	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPS17	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPS19	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RPS8	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RUVBL1	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	RUVBL2	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SF3B1	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SMARCA4	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SMARCA5	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SMARCC2	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SMC2	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	SMC4	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	TMPO	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	UBR5	psi-mi:"MI:0004"(affinity chromatography technology)	Liu XS (2015)	pubmed:26446488
ZBTB7A	PRKDC	psi-mi:"MI:0096"(pull down)	Liu XS (2015)	pubmed:26446488
ZBTB7A	XRCC6	psi-mi:"MI:0096"(pull down)	Liu XS (2015)	pubmed:26446488
ZBTB7A	XRCC5	psi-mi:"MI:0096"(pull down)	Liu XS (2015)	pubmed:26446488
SNRNP200	SNRNP200	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	HNRNPA1	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	SF3B2	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	SF3B3	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	EFTUD2	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	PRPF31	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	PRPF3	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	BCAS2	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	SNW1	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	MATR3	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
SNRNP200	DHX38	psi-mi:"MI:0018"(two hybrid)	Absmeier E (2015)	pubmed:25849387
XRCC6	XRCC5	psi-mi:"MI:0004"(affinity chromatography technology)	Wang J (1994)	pubmed:7699019
XRCC5	XRCC6	psi-mi:"MI:0004"(affinity chromatography technology)	Wang J (1994)	pubmed:7699019
XRCC5	XRCC6	psi-mi:"MI:0096"(pull down)	Wang J (1994)	pubmed:7699019
PRKDC	XRCC5	psi-mi:"MI:0114"(x-ray crystallography)	Sibanda BL (2017)	pubmed:28154079
ESR1	CREBBP	psi-mi:"MI:0004"(affinity chromatography technology)	Abou-Kandil A (2016)	pubmed:27420286
SIRT1	EP300	psi-mi:"MI:0428"(imaging technique)	Han L (2010)	pubmed:20660480
RELA	EP300	psi-mi:"MI:0004"(affinity chromatography technology)	Wu Z (2011)	pubmed:21483817
RELA	CREBBP	psi-mi:"MI:0004"(affinity chromatography technology)	Wu Z (2011)	pubmed:21483817
RELA	CARM1	psi-mi:"MI:0004"(affinity chromatography technology)	Wu Z (2011)	pubmed:21483817
ESR2	ESR2	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	HNRNPA2B1	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	HSPA4	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	NCL	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	NPM1	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	PLEC	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	PRMT5	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	RPL8	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	RPS23	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	TPM3	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	EEF1A1	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	HSPD1	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	MYH9	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	RAN	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	RPS3	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	HSPA8	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	RPL23	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	EGFR	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
ESR2	BRCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Ivanova M (2011)	pubmed:21951318
TP53	THRB	psi-mi:"MI:0096"(pull down)	Yap N (1996)	pubmed:8633054
G3BP1	USP10	psi-mi:"MI:0004"(affinity chromatography technology)	Matsuki H (2013)	pubmed:23279204
G3BP1	PABPC1	psi-mi:"MI:0004"(affinity chromatography technology)	Matsuki H (2013)	pubmed:23279204
PHB	PHB2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PHB	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUBA1C	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PHF8	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUBB3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF2A	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TMEM165	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MYH10	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TRIM25	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	USP39	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF4G1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ABCF1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RRBP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	USP10	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSP90B1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF5B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PSMA4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CDC45	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	IPO7	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PRKDC	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	LRPPRC	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DDX39B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	G3BP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SMNDC1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CAPRIN1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	AFG3L2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SMC2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RBM10	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PARP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NUP93	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NAMPT	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	FARSA	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PRPF8	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SF3B2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF2S2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DYNC1H1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SMARCA1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CDC5L	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TOR1AIP2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MAD2L1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MORF4L2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NOP14	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF2S3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HAT1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NTPCR	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	XRCC6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CSDE1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	C8orf33	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DNAJB6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DNM2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NUSAP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CHCHD3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PHAX	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF4A3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CDK4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CAD	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	UPF1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TFG	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	XRCC5	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUBA1B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TCP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EFTUD2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RAN	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	USP11	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TIMM50	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	XPO1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	POLE	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CEP170	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PHF6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NUFIP2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DIS3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PGM3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NDUFS7	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSPA8	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MCM7	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CHAF1B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MYH9	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT7	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF4A1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MTHFD1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CFL1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUBB	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUBB4B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SON	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	POLR2B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	IGF2BP3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	GNL2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	LRRC59	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	STAU1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SNX9	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MAT2A	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ATXN2L	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	IQGAP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SFPQ	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PRRC2A	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	POLD1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	AURKB	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MOGS	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSP90AA1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSP90AB1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	YBX3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ACTC1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT8	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT6A	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSPA9	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HNRNPU	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PKM	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PSMB1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PRPF3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	GPATCH4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT5	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DNAJC9	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EIF2S1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CCT4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MCM4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RUVBL1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CDK1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TUFM	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	WDR82	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SRSF6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SART1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RTCA	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RBM39	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RBM8A	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	FUS	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPS3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DHX9	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSPA5	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EEF1G	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ELAC2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DDX3X	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DDX17	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	FAM98B	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SNRPA	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ILF3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	AHSA1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SLC25A5	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DDX1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HNRNPDL	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPS19	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	IRS4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NCL	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PABPC1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	CAND1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL17	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EEF1A1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RUVBL2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DNAJA2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	KPNA2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TRMT112	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL32	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PHGDH	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PTBP1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPS17	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PCBP2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HNRNPK	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HNRNPA2B1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSPD1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PSMD13	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	NONO	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ENO1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PES1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ANXA2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TFAM	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	FARSB	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MDN1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SRSF2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TARDBP	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PLRG1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL34	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	FLNA	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SFXN1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	BUB3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	MAGED1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	PSPC1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	DDOST	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	SF3B3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL4	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	TAF15	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EWSR1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPS14	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL3	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	HSPA6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	YBX1	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	EEF2	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	RPL6	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
PHB	ZFR	psi-mi:"MI:0004"(affinity chromatography technology)	Xu Y (2016)	pubmed:27025967
