"","Aural Anomalies","Cerebral Anomalies","Ciliopathy","Coronary and Vascular Anomalies","Digestive Anomalies","Facial Anomalies","Hormonal Anomalies","Liver Anomalies","Nasal Anomalies","Neural Anomalies","Ophthalmic Anomalies","Organ Anomalies","Others","Renal Anomalies","Reproductive Anomalies","Respiratory Anomalies","Skeletal Anomalies","type_ciliopathy","Human.Gene.Name","Subcellular.Localization"
"192","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","SPAG1","0"
"193","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CCNO","2"
"194","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","ODAD3","1"
"195","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","RSPH3","1"
"196","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","GAS8","1"
"197","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAJB13","1"
"198","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","ODAD4","1"
"199","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAAF6","2"
"200","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAH1","1"
"201","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","CFAP300","1"
"202","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","LRRC56","1"
"203","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","DNAH9","1"
"204","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","GAS2L2","1"
"205","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","MCIDAS","0"
"206","1","0","primary.ciliary.dyskinesia","0","0","0","0","0","1","0","0","1","0","0","1","1","0","motile","FOXJ1","1"
